Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Eligibility,SW1_Departure,SW2_Arrival,SW2_Eligibility,SW2_Departure,Diff_Eli_Dest_SW1,Diff_Eli_Dest_SW2,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
4,0,2.106e-05,2.106e-05,4.089e-06,1e-05,1.0321e-05,1.441e-05,1.6971e-05,1.6971e-05,1.106e-05,4.089e-06,1.2882e-05,6.232e-06,2.561e-06,0
5,1e-05,3.146e-05,2.146e-05,1.4089e-05,2e-05,2.1105e-05,2.5194e-05,2.7371e-05,2.7371e-05,1.146e-05,4.089e-06,1.3282e-05,7.016e-06,2.177e-06,1.04e-05
6,2e-05,4.1758e-05,2.1758e-05,2.4089e-05,3e-05,3e-05,3.4089e-05,3.7669e-05,3.7669e-05,1.1758e-05,4.089e-06,1.358e-05,5.911e-06,3.58e-06,1.0298e-05
7,3e-05,5.1758e-05,2.1758e-05,3.4089e-05,4e-05,4e-05,4.4089e-05,4.7669e-05,4.7669e-05,1.1758e-05,4.089e-06,1.358e-05,5.911e-06,3.58e-06,1e-05
8,4e-05,6.2365e-05,2.2365e-05,4.4089e-05,5e-05,5e-05,5.4089e-05,5.8276e-05,5.8276e-05,1.2365e-05,4.089e-06,1.4187e-05,5.911e-06,4.187e-06,1.0607e-05
9,5e-05,7.2365e-05,2.2365e-05,5.4089e-05,6e-05,6e-05,6.4089e-05,6.8276e-05,6.8276e-05,1.2365e-05,4.089e-06,1.4187e-05,5.911e-06,4.187e-06,1e-05
10,6e-05,8.2365e-05,2.2365e-05,6.4089e-05,7e-05,7e-05,7.4089e-05,7.8276e-05,7.8276e-05,1.2365e-05,4.089e-06,1.4187e-05,5.911e-06,4.187e-06,1e-05
11,7e-05,9.2365e-05,2.2365e-05,7.4089e-05,8e-05,8e-05,8.4089e-05,8.8276e-05,8.8276e-05,1.2365e-05,4.089e-06,1.4187e-05,5.911e-06,4.187e-06,1e-05
12,8e-05,0.000102419,2.2419e-05,8.4089e-05,9e-05,9e-05,9.4089e-05,9.833e-05,9.833e-05,1.2419e-05,4.089e-06,1.4241e-05,5.911e-06,4.241e-06,1.0054e-05
13,9e-05,0.000112419,2.2419e-05,9.4089e-05,0.0001,0.0001,0.000104089,0.00010833,0.00010833,1.2419e-05,4.089e-06,1.4241e-05,5.911e-06,4.241e-06,1e-05
14,0.0001,0.000122419,2.2419e-05,0.000104089,0.00011,0.00011,0.000114089,0.00011833,0.00011833,1.2419e-05,4.089e-06,1.4241e-05,5.911e-06,4.241e-06,1e-05
15,0.00011,0.000132419,2.2419e-05,0.000114089,0.00012,0.00012,0.000124089,0.00012833,0.00012833,1.2419e-05,4.089e-06,1.4241e-05,5.911e-06,4.241e-06,1e-05
16,0.00012,0.000142419,2.2419e-05,0.000124089,0.00013,0.00013,0.000134089,0.00013833,0.00013833,1.2419e-05,4.089e-06,1.4241e-05,5.911e-06,4.241e-06,1e-05
17,0.00013,0.00015277,2.277e-05,0.000134089,0.00014,0.00014,0.000144089,0.000148681,0.000148681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1.0351e-05
18,0.00014,0.00016277,2.277e-05,0.000144089,0.00015,0.00015,0.000154089,0.000158681,0.000158681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1e-05
19,0.00015,0.00017277,2.277e-05,0.000154089,0.00016,0.00016,0.000164089,0.000168681,0.000168681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1e-05
20,0.00016,0.00018277,2.277e-05,0.000164089,0.00017,0.00017,0.000174089,0.000178681,0.000178681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1e-05
21,0.00017,0.00019277,2.277e-05,0.000174089,0.00018,0.00018,0.000184089,0.000188681,0.000188681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1e-05
22,0.00018,0.00020277,2.277e-05,0.000184089,0.00019,0.00019,0.000194089,0.000198681,0.000198681,1.277e-05,4.089e-06,1.4592e-05,5.911e-06,4.592e-06,1e-05
23,0.00019,0.000212924,2.2924e-05,0.000194089,0.0002,0.0002,0.000204089,0.000208835,0.000208835,1.2924e-05,4.089e-06,1.4746e-05,5.911e-06,4.746e-06,1.0154e-05
24,0.0002,0.00022293,2.293e-05,0.000204089,0.00021,0.00021,0.000214089,0.000218841,0.000218841,1.293e-05,4.089e-06,1.4752e-05,5.911e-06,4.752e-06,1.0006e-05
25,0.00021,0.000232954,2.2954e-05,0.000214089,0.00022,0.00022,0.000224089,0.000228865,0.000228865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1.0024e-05
26,0.00022,0.000242954,2.2954e-05,0.000224089,0.00023,0.00023,0.000234089,0.000238865,0.000238865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
27,0.00023,0.000252954,2.2954e-05,0.000234089,0.00024,0.00024,0.000244089,0.000248865,0.000248865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
28,0.00024,0.000262954,2.2954e-05,0.000244089,0.00025,0.00025,0.000254089,0.000258865,0.000258865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
29,0.00025,0.000272954,2.2954e-05,0.000254089,0.00026,0.00026,0.000264089,0.000268865,0.000268865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
30,0.00026,0.000282954,2.2954e-05,0.000264089,0.00027,0.00027,0.000274089,0.000278865,0.000278865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
31,0.00027,0.000292954,2.2954e-05,0.000274089,0.00028,0.00028,0.000284089,0.000288865,0.000288865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
32,0.00028,0.000302954,2.2954e-05,0.000284089,0.00029,0.00029,0.000294089,0.000298865,0.000298865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
33,0.00029,0.000312954,2.2954e-05,0.000294089,0.0003,0.0003,0.000304089,0.000308865,0.000308865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
34,0.0003,0.000322954,2.2954e-05,0.000304089,0.00031,0.00031,0.000314089,0.000318865,0.000318865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
35,0.00031,0.000332954,2.2954e-05,0.000314089,0.00032,0.00032,0.000324089,0.000328865,0.000328865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
36,0.00032,0.000342954,2.2954e-05,0.000324089,0.00033,0.00033,0.000334089,0.000338865,0.000338865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
37,0.00033,0.000352954,2.2954e-05,0.000334089,0.00034,0.00034,0.000344089,0.000348865,0.000348865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
38,0.00034,0.000362954,2.2954e-05,0.000344089,0.00035,0.00035,0.000354089,0.000358865,0.000358865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
39,0.00035,0.000372954,2.2954e-05,0.000354089,0.00036,0.00036,0.000364089,0.000368865,0.000368865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
40,0.00036,0.000382954,2.2954e-05,0.000364089,0.00037,0.00037,0.000374089,0.000378865,0.000378865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
41,0.00037,0.000392954,2.2954e-05,0.000374089,0.00038,0.00038,0.000384089,0.000388865,0.000388865,1.2954e-05,4.089e-06,1.4776e-05,5.911e-06,4.776e-06,1e-05
42,0.00038,0.000403077,2.3077e-05,0.000384089,0.00039,0.00039,0.000394089,0.000398988,0.000398988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1.0123e-05
43,0.00039,0.000413077,2.3077e-05,0.000394089,0.0004,0.0004,0.000404089,0.000408988,0.000408988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
44,0.0004,0.000423077,2.3077e-05,0.000404089,0.00041,0.00041,0.000414089,0.000418988,0.000418988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
45,0.00041,0.000433077,2.3077e-05,0.000414089,0.00042,0.00042,0.000424089,0.000428988,0.000428988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
46,0.00042,0.000443077,2.3077e-05,0.000424089,0.00043,0.00043,0.000434089,0.000438988,0.000438988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
47,0.00043,0.000453077,2.3077e-05,0.000434089,0.00044,0.00044,0.000444089,0.000448988,0.000448988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
48,0.00044,0.000463077,2.3077e-05,0.000444089,0.00045,0.00045,0.000454089,0.000458988,0.000458988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
49,0.00045,0.000473077,2.3077e-05,0.000454089,0.00046,0.00046,0.000464089,0.000468988,0.000468988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
50,0.00046,0.000483077,2.3077e-05,0.000464089,0.00047,0.00047,0.000474089,0.000478988,0.000478988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
51,0.00047,0.000493077,2.3077e-05,0.000474089,0.00048,0.00048,0.000484089,0.000488988,0.000488988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
52,0.00048,0.000503077,2.3077e-05,0.000484089,0.00049,0.00049,0.000494089,0.000498988,0.000498988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
53,0.00049,0.000513077,2.3077e-05,0.000494089,0.0005,0.0005,0.000504089,0.000508988,0.000508988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
54,0.0005,0.000523077,2.3077e-05,0.000504089,0.00051,0.00051,0.000514089,0.000518988,0.000518988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
55,0.00051,0.000533077,2.3077e-05,0.000514089,0.00052,0.00052,0.000524089,0.000528988,0.000528988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
56,0.00052,0.000543077,2.3077e-05,0.000524089,0.00053,0.00053,0.000534089,0.000538988,0.000538988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
57,0.00053,0.000553077,2.3077e-05,0.000534089,0.00054,0.00054,0.000544089,0.000548988,0.000548988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
58,0.00054,0.000563077,2.3077e-05,0.000544089,0.00055,0.00055,0.000554089,0.000558988,0.000558988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
59,0.00055,0.000573077,2.3077e-05,0.000554089,0.00056,0.00056,0.000564089,0.000568988,0.000568988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
60,0.00056,0.000583077,2.3077e-05,0.000564089,0.00057,0.00057,0.000574089,0.000578988,0.000578988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
61,0.00057,0.000593077,2.3077e-05,0.000574089,0.00058,0.00058,0.000584089,0.000588988,0.000588988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
62,0.00058,0.000603077,2.3077e-05,0.000584089,0.00059,0.00059,0.000594089,0.000598988,0.000598988,1.3077e-05,4.089e-06,1.4899e-05,5.911e-06,4.899e-06,1e-05
63,0.00059,0.000613175,2.3175e-05,0.000594089,0.0006,0.0006,0.000604089,0.000609086,0.000609086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1.0098e-05
64,0.0006,0.000623175,2.3175e-05,0.000604089,0.00061,0.00061,0.000614089,0.000619086,0.000619086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
65,0.00061,0.000633175,2.3175e-05,0.000614089,0.00062,0.00062,0.000624089,0.000629086,0.000629086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
66,0.00062,0.000643175,2.3175e-05,0.000624089,0.00063,0.00063,0.000634089,0.000639086,0.000639086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
67,0.00063,0.000653175,2.3175e-05,0.000634089,0.00064,0.00064,0.000644089,0.000649086,0.000649086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
