Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Departure,SW2_Arrival,SW2_Departure,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
13,0,1.8263e-05,1.8263e-05,4.089e-06,7.908e-06,1.1997e-05,1.4174e-05,1.0085e-05,3.819e-06,2.177e-06,0
14,1e-05,7.3614e-05,6.3614e-05,1.4089e-05,6.2316e-05,6.6405e-05,6.9525e-05,5.5436e-05,4.8227e-05,3.12e-06,5.5351e-05
15,2e-05,8.4015e-05,6.4015e-05,2.4089e-05,6.6476e-05,7.0565e-05,7.9926e-05,5.5837e-05,4.2387e-05,9.361e-06,1.0401e-05
16,3e-05,9.4415e-05,6.4415e-05,3.4089e-05,7.0636e-05,7.4725e-05,9.0326e-05,5.6237e-05,3.6547e-05,1.5601e-05,1.04e-05
17,4e-05,0.000104815,6.4815e-05,4.4089e-05,7.4796e-05,7.8885e-05,0.000100726,5.6637e-05,3.0707e-05,2.1841e-05,1.04e-05
18,5e-05,0.000115215,6.5215e-05,5.4089e-05,7.8956e-05,8.3045e-05,0.000111126,5.7037e-05,2.4867e-05,2.8081e-05,1.04e-05
19,6e-05,0.000125615,6.5615e-05,6.4089e-05,8.3116e-05,8.7205e-05,0.000121526,5.7437e-05,1.9027e-05,3.4321e-05,1.04e-05
20,7e-05,0.000136015,6.6015e-05,7.4089e-05,8.7276e-05,9.1365e-05,0.000131926,5.7837e-05,1.3187e-05,4.0561e-05,1.04e-05
21,8e-05,0.000146415,6.6415e-05,8.4089e-05,9.1436e-05,9.5525e-05,0.000142326,5.8237e-05,7.347e-06,4.6801e-05,1.04e-05
22,9e-05,0.000156815,6.6815e-05,9.4089e-05,0.000101748,0.000105837,0.000152726,5.8637e-05,7.659e-06,4.6889e-05,1.04e-05
23,0.0001,0.000167215,6.7215e-05,0.000104089,0.000112148,0.000116237,0.000163126,5.9037e-05,8.059e-06,4.6889e-05,1.04e-05
24,0.00011,0.000177615,6.7615e-05,0.000114089,0.000122548,0.000126637,0.000173526,5.9437e-05,8.459e-06,4.6889e-05,1.04e-05
25,0.00012,0.000188015,6.8015e-05,0.000124089,0.000132948,0.000137037,0.000183926,5.9837e-05,8.859e-06,4.6889e-05,1.04e-05
26,0.00013,0.000198415,6.8415e-05,0.000134089,0.000143348,0.000147437,0.000194326,6.0237e-05,9.259e-06,4.6889e-05,1.04e-05
27,0.00014,0.000208815,6.8815e-05,0.000144089,0.000153748,0.000157837,0.000204726,6.0637e-05,9.659e-06,4.6889e-05,1.04e-05
28,0.00015,0.000219215,6.9215e-05,0.000154089,0.000164148,0.000168237,0.000215126,6.1037e-05,1.0059e-05,4.6889e-05,1.04e-05
29,0.00016,0.000229615,6.9615e-05,0.000164089,0.000174548,0.000178637,0.000225526,6.1437e-05,1.0459e-05,4.6889e-05,1.04e-05
30,0.00017,0.000240015,7.0015e-05,0.000174089,0.000184948,0.000189037,0.000235926,6.1837e-05,1.0859e-05,4.6889e-05,1.04e-05
31,0.00018,0.000250415,7.0415e-05,0.000184089,0.000195348,0.000199437,0.000246326,6.2237e-05,1.1259e-05,4.6889e-05,1.04e-05
32,0.00019,0.000260815,7.0815e-05,0.000194089,0.000205748,0.000209837,0.000256726,6.2637e-05,1.1659e-05,4.6889e-05,1.04e-05
33,0.0002,0.000271215,7.1215e-05,0.000204089,0.000216148,0.000220237,0.000267126,6.3037e-05,1.2059e-05,4.6889e-05,1.04e-05
34,0.00021,0.000281615,7.1615e-05,0.000214089,0.000226548,0.000230637,0.000277526,6.3437e-05,1.2459e-05,4.6889e-05,1.04e-05
35,0.00022,0.000292015,7.2015e-05,0.000224089,0.000236948,0.000241037,0.000287926,6.3837e-05,1.2859e-05,4.6889e-05,1.04e-05
36,0.00023,0.000302415,7.2415e-05,0.000234089,0.000247348,0.000251437,0.000298326,6.4237e-05,1.3259e-05,4.6889e-05,1.04e-05
37,0.00024,0.000312815,7.2815e-05,0.000244089,0.000257748,0.000261837,0.000308726,6.4637e-05,1.3659e-05,4.6889e-05,1.04e-05
38,0.00025,0.000323215,7.3215e-05,0.000254089,0.000268148,0.000272237,0.000319126,6.5037e-05,1.4059e-05,4.6889e-05,1.04e-05
39,0.00026,0.000333615,7.3615e-05,0.000264089,0.000278548,0.000282637,0.000329526,6.5437e-05,1.4459e-05,4.6889e-05,1.04e-05
41,0.00027,0.000344015,7.4015e-05,0.000274089,0.000288948,0.000293037,0.000339926,6.5837e-05,1.4859e-05,4.6889e-05,1.04e-05
42,0.00028,0.000354415,7.4415e-05,0.000284089,0.000299348,0.000303437,0.000350326,6.6237e-05,1.5259e-05,4.6889e-05,1.04e-05
43,0.00029,0.000364815,7.4815e-05,0.000294089,0.000309748,0.000313837,0.000360726,6.6637e-05,1.5659e-05,4.6889e-05,1.04e-05
44,0.0003,0.000375215,7.5215e-05,0.000304089,0.000320148,0.000324237,0.000371126,6.7037e-05,1.6059e-05,4.6889e-05,1.04e-05
45,0.00031,0.000385615,7.5615e-05,0.000314089,0.000330548,0.000334637,0.000381526,6.7437e-05,1.6459e-05,4.6889e-05,1.04e-05
46,0.00032,0.000396015,7.6015e-05,0.000324089,0.000340948,0.000345037,0.000391926,6.7837e-05,1.6859e-05,4.6889e-05,1.04e-05
47,0.00033,0.000406415,7.6415e-05,0.000334089,0.000351348,0.000355437,0.000402326,6.8237e-05,1.7259e-05,4.6889e-05,1.04e-05
48,0.00034,0.000416815,7.6815e-05,0.000344089,0.000361748,0.000365837,0.000412726,6.8637e-05,1.7659e-05,4.6889e-05,1.04e-05
49,0.00035,0.000427215,7.7215e-05,0.000354089,0.000372148,0.000376237,0.000423126,6.9037e-05,1.8059e-05,4.6889e-05,1.04e-05
